Artist,Album
"Goodman Group, The ",Christmas in the Air
"Goodman Group, The ",Christmas in the Air
"Goodnight, Charlene ","Goodnight, Charlene "
"Goodnight, Charlene ","Goodnight, Charlene "
"Goodwill, The",That Was a Moment 
"Goodwill, The",That Was a Moment 
"Goops, The ",Vulgar Appetites 
"Goops, The ",Lucky
"Goops, The ",Lucky Reprise 
"Goops, The ",Hard Candy 
"Goops, The ",Vulgar Appetites 
"Goops, The ",Lucky
"Goops, The ",Lucky Reprise 
"Goops, The ",Hard Candy 
Gordon Stone,Scratchin' the Surface
Gorillaz,Plastic Beach
Gorillaz,Tomorrow Comes Today 
Gorillaz,D-Sides
Gorillaz,Clint Eastwood
Gorillaz,Advance CD
Gorillaz ,Gorillaz
Gorillaz ,Demon Days
Gorky's Zygotic Mynci,Spanish Dance Troupe
Gorky's Zygotic Mynci,Sleep/ Holiday
Gorky's Zygotic Mynci,How I Long to Feel That Summer In My Heart
Gorky's Zygotic Mynci ,Introducing Gorky's Zygotic Mynci 
Gorky's Zygotic Mynci ,The Blue Trees 
Gorky's Zygotic Mynci ,Amber Cambler 
Gorky's Zygotic Mynci ,Introducing Gorky's Zygotic Mynci 
Gorky's Zygotic Mynci ,The Blue Trees 
Gorky's Zygotic Mynci ,Amber Cambler 
Gosling ,Gosling e.p. 
Gospel Claws,Gospel Claws
Gospel Gossip,Sing Into My Mouth
Gospel Gossip,Drift EP
"Gospel Hummingbirds, The",Taking Flight
Gossip,Music For Men
Gossip ,Live in Liverpool
"Gothic Archies, the",The Tragic Treasury
"Gotobeds, the",Blood//Sugar Secs//Traffic
Goudie,Drag City
"Gourds, The",Bolsa De Agua
"Gourds, The",Ghosts of Hallelujah
"Gourds, The",Shinebox
"Gourds, The",Stadium Blitzer
Gov't Mule,By A Thread
Gov't Mule,Dose
Gov't Mule,The Deep End
Gov't Mule,The Deep End Vol. 2
Gov't Mule,Gov't Mule
Government,New Middle Class
Grace Mclean & Them Apples,Make Me Breakfast
Grade,Under the Radar
"Graduates, The",Up in Downtown
Grady Champion,Dreamin'
Graffiti6,Free
Graffiti6,Annie You Save Me
Graham Collier ,Workpoints
Graham Coxon,The Sky Is Too High
Graham Coxon,Love Travels At Illegal Speeds
Graham Coxon,Happiness in Magazines 
Graham Haynes,Transition
Graham MacRae,Graham MacRae
Graham Nash,Another Broken Heart
Graham Nash,This Path Tonight
Graham Nash,Myself at Last
Graham Parker,Everything Goes
Graham Parker,Struck By Lightning
Graham Parker,Burning Questions
Graham Parker,Big Man On Paper
Graig Markel,The Gospel Project
Graig Markel,Tall Tales On Tape
Grails,Doomsdayer's Holiday
Grain,The Bad Years
Grain,The Bad Years
Gramercy Arms,Gramercy Arms
Gramercy Arms,Gramercy Arms
Grampall Jookabox,Ropechain
Grampall Jookabox,Ropechain
Grand & Noble,Grand & Noble
Grand & Noble,Grand & Noble
Grand Archives,Keep in Mind Frankenstein
Grand Archives,The Grand Archives
Grand Archives,Keep in Mind Frankenstein
Grand Archives,The Grand Archives
Grand Champeen,The One That Brought You
Grand Champeen,The One That Brought You
Grand Natinoal,Kicking the National Habit
Grand Natinoal,Kicking the National Habit
Grand National,A Drink & A Quick Decision
Grand National,A Drink & A Quick Decision
Grand Tourism,Grand Tourism
